t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,camera_x_in_base_x,camera_x_in_base_y,camera_x_in_base_z,camera_y_in_base_x,camera_y_in_base_y,camera_y_in_base_z,camera_z_in_base_x,camera_z_in_base_y,camera_z_in_base_z
1783095547112273599,45.950706658,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547171573669,46.010006728,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547231657552,46.070090611,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547291425264,46.129858323,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547341935913,46.180368972,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547409381568,46.247814627,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547461923670,46.300356729,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547512000775,46.350433834,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547571677511,46.41011057,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547631814314,46.470247373,base_link,zed_0_left_camera_frame,-0.07965977948785832,-0.2165802291470297,1.360521669752696,-0.16435608055442924,-0.00045259602280657655,0.9694561537721477,-0.18204845468978934,-0.8796908778596915,-0.35282721555068636,-0.3188368162198258,0.3531247631842185,-0.9337163106037997,0.05896399696864346,-0.318507238593623,-0.060719084966574,0.9459737478832523
1783095547691733690,46.530166749,base_link,zed_0_left_camera_frame,-0.078903288729228,-0.2168569739555226,1.360521669752696,-0.16435504029828008,-0.0007394504206682173,0.9691369431452964,-0.18374019531016267,-0.8784539227118682,-0.3558957576242465,-0.3188368162198258,0.35638188723899655,-0.9324779876809174,0.05896399696864346,-0.31829334916096275,-0.06183051184981906,0.9459737478832523
