t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,is_static
1783095546269650512,45.108083571,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546269824008,45.108257067,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546272692651,45.11112571,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.09150154159171651,0.0,0.9958049346565516,False
1783095546272692651,45.11112571,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095546272692651,45.11112571,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.07584884241400716,0.9971193274149565,False
1783095546272692651,45.11112571,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546272692651,45.11112571,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546272692651,45.11112571,telescope,upperpassive,0.0,2.03711,-0.20229,0.41786674298461424,0.0,0.0,0.908508329685221,False
1783095546272692651,45.11112571,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546272692651,45.11112571,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546272692651,45.11112571,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
1783095546320383118,45.158816177,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546320433739,45.158866798,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546331664658,45.170097717,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.10192437000251575,0.0,0.9947921505518579,False
1783095546331664658,45.170097717,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095546331664658,45.170097717,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.07584884241400716,0.9971193274149565,False
1783095546331664658,45.170097717,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546331664658,45.170097717,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546331664658,45.170097717,telescope,upperpassive,0.0,2.03711,-0.20229,0.41786674298461424,0.0,0.0,0.908508329685221,False
1783095546331664658,45.170097717,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546331664658,45.170097717,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546331664658,45.170097717,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
1783095546392219915,45.230652974,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.10973421877628217,0.0,0.99396096564682,False
1783095546392219915,45.230652974,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095546392219915,45.230652974,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.07584884241400716,0.9971193274149565,False
1783095546392219915,45.230652974,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546392219915,45.230652974,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546392219915,45.230652974,telescope,upperpassive,0.0,2.03711,-0.20229,0.4194517505575242,0.0,0.0,0.9077776318869221,False
1783095546392219915,45.230652974,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546392219915,45.230652974,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546392219915,45.230652974,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
1783095546401815831,45.24024889,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546401848822,45.240281881,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546451505240,45.289938299,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.11667063900137568,0.0,0.9931706610623428,False
1783095546451505240,45.289938299,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
